   0 ns  0  0   x
  15 ns  5  2   x
  35 ns  5  2   0
  55 ns  5  2  10
 115 ns  4 10  10
 135 ns  4 10   0
 155 ns  4 10   8
 175 ns  4 10  40
 215 ns 15 15  40
 235 ns 15 15   0
 245 ns 15 15  15
 255 ns 15 15  45
 265 ns 15 15 105
 275 ns 15 15 225
