	 time (data) (sorted)
   0 ns (x x x x) (x x x x)
1330 ns (2 0 1 0) (2 1 0 0)
1340 ns (2 0 1 1) (2 1 1 0)
1350 ns (2 0 1 2) (2 2 1 0)
1360 ns (2 0 1 3) (3 2 1 0)
1370 ns (2 0 2 0) (2 2 0 0)
1380 ns (2 0 2 1) (2 2 1 0)
1390 ns (2 0 2 2) (2 2 2 0)
1400 ns (2 0 2 3) (3 2 2 0)
1410 ns (2 0 3 0) (3 2 0 0)
1420 ns (2 0 3 1) (3 2 1 0)
1430 ns (2 0 3 2) (3 2 2 0)
1440 ns (2 0 3 3) (3 3 2 0)
1450 ns (2 1 0 0) (2 1 0 0)
1460 ns (2 1 0 1) (2 1 1 0)
1470 ns (2 1 0 2) (2 2 1 0)
1480 ns (2 1 0 3) (3 2 1 0)
1490 ns (2 1 1 0) (2 1 1 0)
1500 ns (2 1 1 1) (2 1 1 1)
1510 ns (2 1 1 2) (2 2 1 1)
1520 ns (2 1 1 3) (3 2 1 1)
1530 ns (2 1 2 0) (2 2 1 0)
1540 ns (2 1 2 1) (2 2 1 1)
1550 ns (2 1 2 2) (2 2 2 1)
1560 ns (2 1 2 3) (3 2 2 1)
1570 ns (2 1 3 0) (3 2 1 0)
1580 ns (2 1 3 1) (3 2 1 1)
1590 ns (2 1 3 2) (3 2 2 1)
1600 ns (2 1 3 3) (3 3 2 1)
1610 ns (2 2 0 0) (2 2 0 0)
1620 ns (2 2 0 1) (2 2 1 0)
1630 ns (2 2 0 2) (2 2 2 0)
1640 ns (2 2 0 3) (3 2 2 0)
1650 ns (2 2 1 0) (2 2 1 0)
1660 ns (2 2 1 1) (2 2 1 1)
1670 ns (2 2 1 2) (2 2 2 1)
1680 ns (2 2 1 3) (3 2 2 1)
1690 ns (2 2 2 0) (2 2 2 0)
1700 ns (2 2 2 1) (2 2 2 1)
1710 ns (2 2 2 2) (2 2 2 2)
1720 ns (2 2 2 3) (3 2 2 2)
1730 ns (2 2 3 0) (3 2 2 0)
1740 ns (2 2 3 1) (3 2 2 1)
1750 ns (2 2 3 2) (3 2 2 2)
1760 ns (2 2 3 3) (3 3 2 2)
1770 ns (2 3 0 0) (3 2 0 0)
1780 ns (2 3 0 1) (3 2 1 0)
1790 ns (2 3 0 2) (3 2 2 0)
1800 ns (2 3 0 3) (3 3 2 0)
1810 ns (2 3 1 0) (3 2 1 0)
1820 ns (2 3 1 1) (3 2 1 1)
1830 ns (2 3 1 2) (3 2 2 1)
1840 ns (2 3 1 3) (3 3 2 1)
1850 ns (2 3 2 0) (3 2 2 0)
1860 ns (2 3 2 1) (3 2 2 1)
1870 ns (2 3 2 2) (3 2 2 2)
1880 ns (2 3 2 3) (3 3 2 2)
1890 ns (2 3 3 0) (3 3 2 0)
1900 ns (2 3 3 1) (3 3 2 1)
1910 ns (2 3 3 2) (3 3 2 2)
1920 ns (2 3 3 3) (3 3 3 2)
1930 ns (3 0 0 0) (3 0 0 0)
1940 ns (3 0 0 1) (3 1 0 0)
1950 ns (3 0 0 2) (3 2 0 0)
1960 ns (3 0 0 3) (3 3 0 0)
1970 ns (3 0 1 0) (3 1 0 0)
1980 ns (3 0 1 1) (3 1 1 0)
1990 ns (3 0 1 2) (3 2 1 0)
2000 ns (3 0 1 3) (3 3 1 0)
2010 ns (3 0 2 0) (3 2 0 0)
2020 ns (3 0 2 1) (3 2 1 0)
2030 ns (3 0 2 2) (3 2 2 0)
2040 ns (3 0 2 3) (3 3 2 0)
2050 ns (3 0 3 0) (3 3 0 0)
2060 ns (3 0 3 1) (3 3 1 0)
2070 ns (3 0 3 2) (3 3 2 0)
2080 ns (3 0 3 3) (3 3 3 0)
2090 ns (3 1 0 0) (3 1 0 0)
2100 ns (3 1 0 1) (3 1 1 0)
2110 ns (3 1 0 2) (3 2 1 0)
2120 ns (3 1 0 3) (3 3 1 0)
2130 ns (3 1 1 0) (3 1 1 0)
2140 ns (3 1 1 1) (3 1 1 1)
2150 ns (3 1 1 2) (3 2 1 1)
2160 ns (3 1 1 3) (3 3 1 1)
2170 ns (3 1 2 0) (3 2 1 0)
2180 ns (3 1 2 1) (3 2 1 1)
2190 ns (3 1 2 2) (3 2 2 1)
2200 ns (3 1 2 3) (3 3 2 1)
2210 ns (3 1 3 0) (3 3 1 0)
2220 ns (3 1 3 1) (3 3 1 1)
2230 ns (3 1 3 2) (3 3 2 1)
2240 ns (3 1 3 3) (3 3 3 1)
2250 ns (3 2 0 0) (3 2 0 0)
2260 ns (3 2 0 1) (3 2 1 0)
2270 ns (3 2 0 2) (3 2 2 0)
2280 ns (3 2 0 3) (3 3 2 0)
2290 ns (3 2 1 0) (3 2 1 0)
2300 ns (3 2 1 1) (3 2 1 1)
2310 ns (3 2 1 2) (3 2 2 1)
2320 ns (3 2 1 3) (3 3 2 1)
2330 ns (3 2 2 0) (3 2 2 0)
2340 ns (3 2 2 1) (3 2 2 1)
2350 ns (3 2 2 2) (3 2 2 2)
2360 ns (3 2 2 3) (3 3 2 2)
2370 ns (3 2 3 0) (3 3 2 0)
2380 ns (3 2 3 1) (3 3 2 1)
2390 ns (3 2 3 2) (3 3 2 2)
2400 ns (3 2 3 3) (3 3 3 2)
2410 ns (3 3 0 0) (3 3 0 0)
